Team,Player,Status,Injury
HOU,Jaylin Noel,Active,Noel caught one pass on five targets for 31 yards and added a 13-yard carry during the Texans' 20-6 loss to the Bengals on Sunday. He also returned three punts for 32 yards and one kickoff for 31 yards.
HOU,Azeez Al-Shaair,Active,Al-Shaair recorded 12 total tackles (six solo) during Sunday's 20-6 loss to the Bengals.
HOU,Jared Wayne,Active,Wayne caught two of his seven targets for 33 yards in Sunday's 20-6 loss to the Bengals.
HOU,Foster Moreau,Active,Moreau caught both of his targets for 34 yards and added a tackle on special teams during Sunday's 20-6 loss to the Bengals.
HOU,Jake Hummel,Questionable,Groin
HOU,Ed Ingram,Questionable,Groin
HOU,Jadeveon Clowney,Questionable,Knee
HOU,Kayshon Boutte,Active,Boutte caught three of five targets for 37 yards during the Texans' 20-6 loss to the Bengals on Sunday.
HOU,Xavier Hutchinson,Active,Hutchinson caught three passes on nine targets for 37 yards during the Texans' 20-6 loss to the Bengals on Sunday.
HOU,Nate Thomas,Active,
HOU,Brevin Jordan,Active,
HOU,Collin Wright,Active,
HOU,Ka'imi Fairbairn,Active,Fairbairn went 2-for-3 on field-goal attempts in Sunday's 20-6 loss to the Bengals.
HOU,Woody Marks,Active,Marks rushed eight times for eight yards in Sunday's 20-6 loss to the Bengals. He added five catches for 27 yards on six targets.
HOU,Dalton Schultz,Active,Schultz brought in 12 of 14 targets for 140 yards in the Texans' 20-6 loss to the Bengals on Sunday.
HOU,David Montgomery,Active,Montgomery rushed six times for 10 yards and brought in both his targets for 14 yards in the Texans' 20-6 loss to the Bengals on Sunday.
HOU,C.J. Stroud,Active,Stroud completed 30 of 55 passes for 353 yards with no touchdowns or interceptions and rushed three times for 29 yards in the Texans' 20-6 loss to the Bengals on Sunday.
HOU,Henry To'oTo'o,Injured Reserve,Shoulder
HOU,Jaden Crumedy,Active,
HOU,Febechi Nwaiwu,Active,
IND,Ashton Dulin,Questionable,Ankle
IND,Charvarius Ward,Questionable,Groin
IND,DJ Giddens,Active,Giddens (knee) was a full participant in Wednesday's practice.
IND,Alec Pierce,Out,Heel
IND,Laquon Treadwell,Active,Treadwell caught all three of his targets for 61 yards and made one tackle on kick coverage in Sunday's 33-30 overtime loss to the Chiefs.
IND,Akeem Davis-Gaither,Active,Davis-Gaither recorded 14 total tackles (seven solo) during Sunday night's 33-30 overtime loss to the Chiefs.
IND,Micheal Clemons,Injured Reserve,Toe
IND,Seth McGowan,Active,McGowan rushed twice for zero yards and had two kickoff returns for 58 yards in Sunday's 33-30 overtime loss to the Chiefs.
IND,Darius Slayton,Active,"Slayton agreed to a contract Monday with the Colts, Tom Pelissero of Netflix reports."
IND,Spencer Shrader,Active,Shrader made all three of his field-goal attempts and PATs in Sunday night's 33-30 overtime loss to the Chiefs.
IND,Dalton Tucker,Active,
IND,Austin Ajiake,Active,
IND,George Gumbs Jr.,Active,
IND,Riley Leonard,Active,
IND,Keenan Allen,Active,Allen caught one of five targets for five yards in Sunday's 33-30 overtime loss to the Chiefs.
IND,Josh Downs,Active,Downs caught seven of nine targets for 72 yards in Sunday's 33-30 overtime loss to the Chiefs.
IND,Daniel Jones,Active,"Jones completed 22 of 31 passes for 210 yards, one touchdown and one interception in Sunday's 33-30 overtime loss to the Chiefs. He also rushed three times for 10 yards."
IND,Tyler Warren,Active,Warren caught six of seven targets for 21 yards and a touchdown in Sunday's 33-30 overtime loss to the Chiefs. He also rushed once for three yards.
IND,Jonathan Taylor,Active,Taylor rushed 24 times for 92 yards and two touchdowns while catching all four of his targets for 40 yards in Sunday's 33-30 overtime loss to the Chiefs.
IND,Anthony Richardson Sr.,Active,Richardson (groin) was a full participant at practice Thursday.
IND,Cam Taylor-Britt,Active,"Taylor-Britt's one-game suspension for violating the league's personal conduct policy was lifted Monday, Aaron Wilson of KPRC 2 Houston reports."
IND,Drew Ogletree,Active,Ogletree (neck) was a full participant in practice Thursday.
IND,A.J. Haulcy,Active,Haulcy (ankle) was a full participant in Thursday's practice.
IND,Sedrick Van Pran-Granger,Active,
IND,Sauce Gardner,Active,Gardner (calf) is not listed on Wednesday's injury report for Sunday's game versus Baltimore.
JAX,Jakobi Meyers,Questionable,Thumb
JAX,LeQuint Allen Jr.,Questionable,Hip
JAX,DaVon Hamilton,Questionable,Back
JAX,Cole Van Lanen,Questionable,Knee
JAX,Robert Hainsey,Questionable,Elbow
JAX,Ameer Abdullah,Active,Abdullah carried the ball three times for 11 yards and caught his only target for two yards during Sunday's 20-13 loss to the Broncos.
JAX,Josh Cameron,Active,Cameron returned two kickoffs for 50 yards in Sunday's 20-13 loss to the Broncos.
JAX,Foyesade Oluokun,Active,Oluokun recorded seven total tackles (five solo) during Sunday's 20-13 loss to the Broncos.
JAX,Travis Hunter,Active,Hunter played six offensive snaps but didn't record a target during the Jaguars' 20-13 loss to the Broncos on Sunday.
JAX,Jack Kiser,Active,
JAX,Daniel Faalele,Active,
JAX,Jalen Huskey,Active,
JAX,Wesley Williams,Active,
JAX,Cam Little,Active,Little went 2-for-3 on field-goal attempts and made his lone PAT in Sunday's 20-13 loss to the Broncos.
JAX,Brenton Strange,Active,Strange caught both of his targets for 17 yards in Sunday's 20-13 loss to the Broncos.
JAX,Brian Thomas Jr.,Active,Thomas brought in three of eight targets for 40 yards in the Jaguars' 20-13 loss to the Broncos on Sunday.
JAX,Trevor Lawrence,Active,Lawrence completed 17 of 29 passes for 189 yards with no touchdowns and one interception while rushing twice for six yards in the Jaguars' 20-13 loss to the Broncos on Sunday.
JAX,Parker Washington,Active,Washington brought in seven of 12 targets for 98 yards in the Jaguars' 20-13 loss to the Broncos on Sunday. He also returned two punts for 12 yards and fumbled once but recovered.
JAX,Bhayshul Tuten,Active,Tuten rushed 13 times for 65 yards and a touchdown and brought in both targets for minus-3 yards in the Jaguars' 20-13 loss to the Broncos on Sunday.
JAX,Chris Rodriguez Jr.,Active,Rodriguez rushed six times for 13 yards in the Jaguars' 20-13 loss to the Broncos on Sunday.
JAX,CJ Williams,Active,"Williams (coach's decision) is inactive for Sunday's game against the Broncos, John Oehser of the Jaguars' official site reports."
JAX,Tanner Koziol,Active,"Koziol (coach's decision) is inactive for Sunday's game against the Broncos, John Oehser of the Jaguars' official site reports."
JAX,Quinn Ewers,Active,"Ewers (coach's decision) is inactive for Sunday's game against the Broncos, John Oehser of the Jaguars' official site reports."
JAX,B.J. Green II,Injured Reserve,Elbow
JAX,Ventrell Miller,Active,"Miller logged 10 tackles (seven solo), including 1.0 sacks, and one forced fumble during Sunday's 34-10 win over the Browns."
KC,Felix Anudike-Uzomah,Active,
KC,L'Jarius Sneed,Questionable,Knee
KC,Chris Jones,Questionable,Calf
KC,Jalen Royals,Active,Royals caught both of his targets for six yards and a touchdown while logging two tackles on kick coverage in Sunday's 33-30 overtime win against the Colts.
KC,Jaden Hicks,Active,Hicks logged 10 tackles (five solo) during the Chiefs' 33-30 overtime win over the Colts on Sunday.
KC,Nick Bolton,Active,Bolton registered 13 tackles (six solo) during the Chiefs' 33-30 overtime win over the Colts on Sunday.
KC,Cyrus Allen,Active,Allen logged three offensive snaps and three special-teams snaps in Sunday's 33-30 overtime win against the Colts.
KC,Noah Gray,Active,Grey played 40 offensive snaps and 10 special-teams snaps in Sunday's 33-30 overtime win against the Colts.
KC,Tyquan Thornton,Active,Thornton caught all four of his targets for 86 yards in Sunday's 33-30 overtime win against the Colts.
KC,Harrison Butker,Active,Butker went 4-for-5 on field-goal attempts and made all three of his PATs in Sunday night's 33-30 overtime win against the Colts.
KC,Emmett Johnson,Active,"Coach Andy Reid said Monday that Johnson could carve out a bigger role on offense as the season goes along, Charles Goldman of AtoZSports.com reports."
KC,Xavier Worthy,Active,Worthy brought in five of seven targets for 25 yards and a touchdown in the Chiefs' 33-30 overtime win over the Colts on Sunday night.
KC,Travis Kelce,Active,Kelce secured nine of 11 targets for 101 yards and one touchdown in the Chiefs' 33-30 overtime win over the Colts on Sunday night.
KC,Rashee Rice,Active,Rice brought in four of six targets for 83 yards in the Chiefs' 33-30 overtime win over the Colts on Sunday night.
KC,Patrick Mahomes,Active,Mahomes completed 32 of 47 passes for 382 yards with three touchdowns and no interceptions while rushing twice for 17 yards in the Chiefs' 33-30 overtime win over the Colts on Sunday night.
KC,Kenneth Walker III,Active,Walker rushed 24 times for 117 yards and brought in six of 10 targets for 61 yards in the Chiefs' 33-30 overtime win over the Colts on Sunday night.
KC,Mansoor Delane,Active,Delane (shoulder) is active for Sunday's game against the Colts.
KC,Cooper McDonald,Injured Reserve,Knee
KC,Nikko Remigio,Active,Remigio returned two punts for seven yards and three kicks for 78 yards during Monday's 31-10 win versus the Broncos.
KC,Jake Briningstool,Active,Briningstool caught his only target for nine yards and made two tackles in Monday night's 31-10 win over the Broncos.
KC,Brashard Smith,Active,Smith had zero carries during Monday's 31-10 win versus the Broncos.
KC,Ashton Gillotte,Active,Gillotte (foot) was a full participant in practice Thursday.
KC,Trey Smith,Active,Smith (hip) was a full participant in practice Thursday.
KC,R Mason Thomas,Active,Thomas (hamstring) was a full participant in practice Thursday.
KC,Drue Tranquill,Active,Tranquill (back) did not appear on Kansas City's injury report Thursday.
LV,Kwity Paye,Questionable,Illness
LV,Dareke Young,Active,
LV,Folorunso Fatukasi,Active,
LV,Brock Bowers,Questionable,Knee - Meniscus
LV,Treydan Stukes,Questionable,Concussion
LV,Darien Porter,Active,"Porter (foot) was a limited participant at the Raiders' practice Wednesday, Ryan McFadden of ESPN.com reports."
LV,Nakobe Dean,Active,"Dean (shoulder) was a limited participant at the Raiders' practice Wednesday, Ryan McFadden of ESPN.com reports."
LV,Jack Bech,Active,Bech caught both of his targets for 25 yards Sunday in a 26-14 victory versus the Chargers.
LV,Hezekiah Masses,Active,Masses recorded five tackles (four solo) and two interceptions in Sunday's 26-14 win over the Chargers.
LV,Quay Walker,Active,Walker logged 10 tackles (five solo) in Sunday's 26-14 win over the Chargers.
LV,Aidan O'Connell,Questionable,Personal
LV,Cody White,Active,"White reverted to the Raiders' practice squad Monday, Sam Warren of The Athletic reports."
LV,Fernando Mendoza,Active,Mendoza did not play a single snap during the Raiders' 26-14 win over the Chargers on Sunday.
LV,Matt Gay,Active,Gay made his sole field-goal attempt and converted three PATs in Sunday's 26-14 win over the Chargers.
LV,Bryce Cabeldue,Active,
LV,Dalton Johnson,Active,
LV,Tristin McCollum,Active,
LV,JJ Pegues,Active,
LV,Jalen Nailor,Active,Nailor caught one of three targets for nine yards in Sunday's 26-14 win over the Chargers.
LV,Mike Washington Jr.,Active,Washington rushed three times for seven yards while failing to catch his only target during Sunday's 26-14 win over the Chargers.
LV,Michael Mayer,Active,Mayer brought in three of four targets for 23 yards in the Raiders' 26-14 win over the Chargers on Sunday.
LV,Kirk Cousins,Active,Cousins completed 19 of 29 passes for 253 yards with three touchdowns and one interception while rushing four times for one yard in the Raiders' 26-14 win over the Chargers on Sunday.
LV,Ashton Jeanty,Active,Jeanty rushed 21 times for 48 yards and brought in four of seven targets for 15 yards in the Raiders' 26-14 win over the Chargers on Sunday.
LV,Tre Tucker,Active,Tucker caught five of seven targets for 119 yards and a touchdown in the Raiders' 26-14 win over the Chargers on Sunday.
LV,Maxx Crosby,Active,Crosby had two tackles (one solo) and 1.5 sacks in Sunday's 27-13 win over the Dolphins.
LAC,Cole Strange,Active,
LAC,Rashawn Slater,Active,
LAC,Derwin James Jr.,Active,
LAC,Deane Leonard,Active,Leonard (abdomen) was a full participant in Wednesday's practice.
LAC,Dalvin Tomlinson,Doubtful,Hamstring
LAC,Elijah Molden,Questionable,Hamstring
LAC,Marquez Valdes-Scantling,Active,Valdes-Scantling was signed to the Chargers' active roster Wednesday.
LAC,Brenen Thompson,Questionable,Quadriceps
LAC,Tuli Tuipulotu,Questionable,Hamstring
LAC,Rodney Shelley,Questionable,Hamstring
LAC,David Njoku,Injured Reserve,Lower Leg
LAC,Kayode Awosika,Doubtful,Lower Leg
LAC,Charlie Kolar,Out,Forearm
LAC,Kimani Vidal,Active,Vidal didn't get a touch during Sunday's 26-14 loss to Las Vegas.
LAC,Daiyan Henley,Active,Henley recorded three assisted tackles during Sunday's 26-14 loss to the Raiders.
LAC,Hayden Rucci,Active,The Chargers signed Rucci off the Jaguars' practice squad Tuesday.
LAC,Trey Pipkins III,Questionable,Knee
LAC,Tre' Harris,Active,Harris caught one of three targets for 53 yards during Sunday's 26-14 loss to the Raiders.
LAC,Keaton Mitchell,Active,Mitchell rushed five times for 24 yards and caught his only target for 15 yards during Sunday's 26-14 loss to the Raiders.
LAC,Oronde Gadsden,Active,"Gadsden is the only healthy tight end on the Chargers' active roster following the team's 26-14 loss to the Raiders on Sunday, Noah Furtado of The Athletic reports."
LAC,Logan Taylor,Active,
LAC,Alex Harkey,Active,
LAC,Isas Waxter,Active,
LAC,Cameron Dicker,Active,Dicker missed his lone field-goal attempt but made both PATs in Sunday's 26-14 loss to the Raiders.
LAC,Quentin Johnston,Active,Johnston caught one of five targets for seven yards in Sunday's 26-14 loss to the Raiders.
LAR,Terrance Ferguson,Active,"Ferguson (ankle) practiced fully Thursday, Sarah Barshop of ESPN.com reports."
LAR,Puka Nacua,Questionable,Hip
LAR,Kamren Kinchens,Questionable,Hamstring
LAR,Nate Landman,Questionable,Shoulder
LAR,Jordan Whittington,Questionable,Quadriceps
LAR,Ronnie Rivers,Injured Reserve,Calf
LAR,Colby Parkinson,Questionable,Knee
LAR,Alaric Jackson,Questionable,Knee
LAR,Kam Curl,Active,Curl recorded four tackles (four solo) and a pass breakup in Monday night's win over the Giants.
LAR,Quentin Lake,Active,"Lake recorded seven tackles (six solo), three pass breakups and a forced fumble in Monday night's 28-6 win over the Giants."
LAR,Xavier Smith,Active,"Smith did not catch his only target during Monday's 28-6 win versus the Giants, but he recorded four punt returns for 32 yards and two kickoff returns for 29 yards."
LAR,Tyler Higbee,Active,Higbee played 16 offensive snaps and 11 special-teams snaps in Monday night's 28-6 win over the Giants.
LAR,Tutu Atwell,Active,Atwell caught one of two targets for 19 yards during Monday night's 28-6 win over the Giants.
LAR,Konata Mumpfield,Active,Mumpfield caught one of two targets for 12 yards in Monday night's win over the Giants.
LAR,Davis Allen,Active,Allen caught his only target for seven yards in Monday night's win over the Giants.
LAR,Harrison Mevis,Active,Mevis missed his only field-goal try and made all four of his PATs in Monday night's 28-6 win over the Giants.
LAR,Bill Murray,Active,
LAR,Ty Simpson,Active,
LAR,CJ Daniels,Active,
LAR,Matthew Stafford,Active,Stafford completed 22 of 31 passes for 327 yards with four touchdowns and one interception and rushed four times for minus-1 yard in the Rams' 28-6 win over the Giants on Monday night.
LAR,Blake Corum,Active,Corum rushed 12 times for 79 yards and brought in his only target for 13 yards in the Rams' 28-6 win over the Giants on Monday night. He also fumbled once but recovered.
LAR,Kyren Williams,Active,Williams rushed 12 times for 85 yards and brought in both targets for 12 yards and a touchdown in the Rams' 28-6 win over the Giants on Monday night. He also lost a fumble.
LAR,Davante Adams,Active,Adams secured eight of 10 targets for 195 yards and two touchdowns in the Rams' 28-6 win over the Giants on Monday night.
LAR,Aaron Donald,Active,"Donald is active for Monday's game against the Giants, Adam Schefter of ESPN reports."
LAR,Omar Speights,Active,"Speights (hip) does not have any injury designation ahead of Monday night's game against the Giants, Benjamin Royer of The Orange County Register reports."
MIA,Caleb Douglas,Questionable,Ankle
MIA,Chris Bell,Questionable,Knee
MIA,Robert Beal Jr.,Questionable,Hamstring
MIA,Ryan Miller,Questionable,Hip
MIA,Jaylen Wright,Questionable,Foot
MIA,Chop Robinson,Active,"Robinson (concussion) was a full participant at practice Wednesday, C. Isaiah Smalls II of the Miami Herald reports."
MIA,JuJu Brents,Questionable,Knee
MIA,Tucker Addington,Questionable,Shoulder
MIA,Kevin Coleman Jr.,Active,Coleman played 27 offensive snaps and saw no targets in Sunday's 35-13 loss to the 49ers.
MIA,Jordyn Brooks,Active,Brooks recorded three total tackles (two solo) during Sunday's 35-13 loss to San Francisco.
MIA,Jacob Rodriguez,Active,Rodriguez recorded eight total tackles (three solo) during Sunday's 35-13 loss to the 49ers.
MIA,Ollie Gordon II,Active,Gordon rushed three times for seven yards in Sunday's 35-13 loss to the 49ers.
MIA,Malik Washington,Active,"Washington caught four of his five targets for 43 yards, rushed once for four yards, returned a punt for seven yards and returned three kickoffs for 69 yards in Sunday's 35-13 loss to the 49ers."
MIA,Greg Dulcich,Active,Dulcich caught two of his three targets for 17 yards in Sunday's 35-13 loss to the 49ers.
MIA,Riley Patterson,Active,Patterson converted two of his three field-goal attempts and his sole extra-point try during the Dolphins' 35-13 loss to the 49ers.
MIA,Marcellas Dial Jr.,Active,
MIA,Jalen Tolbert,Active,
MIA,Justin Joly,Active,
MIA,DJ Campbell,Active,
MIA,Brady Cook,Active,
MIA,Chukwuebuka Godrick,Active,
MIA,Malik Willis,Active,Willis completed 14 of 23 passes for 197 yards and one touchdown in Sunday's 35-13 loss to the 49ers. He also rushed twice for six yards.
MIA,De'Von Achane,Active,Achane rushed 20 times for 74 yards while catching three of six targets for 19 yards in Sunday's 35-13 loss to the 49ers.
MIA,Ronnie Harrison Jr.,Injured Reserve,Hamstring
MIA,Seydou Traore,Active,
MIN,DeeJay Dallas,Questionable,Toe
MIN,Tyrion Ingram-Dawkins,Active,
MIN,Brian O'Neill,Active,
MIN,Aaron Jones Sr.,Questionable,Knee
MIN,Jauan Jennings,Active,Jennings (personal) was not listed on the Vikings' injury report Wednesday.
MIN,Jalen Redmond,Questionable,Elbow
MIN,Nick Samac,Questionable,Knee
MIN,Jake Golday,Questionable,Ankle
MIN,Josh Oliver,Active,Oliver caught his lone target for 24 yards during the Vikings' 9-3 win over the Bears on Sunday.
MIN,Byron Murphy Jr.,Active,Murphy tallied seven tackles (four solo) and an interception during Sunday's win over the Bears.
MIN,Blake Cashman,Active,"Cashman logged 10 tackles (six solo), including 1.0 sacks, during Sunday's win over the Bears."
MIN,Brett Thorson,Questionable,Hamstring
MIN,Demond Claiborne,Active,Claiborne caught his sole target for two yards in Sunday's 9-3 win over the Bears.
MIN,Dallas Turner,Active,"Turner logged five tackles (three solo), including 2.0 sacks, during the Vikings' 9-3 win over the Bears on Sunday."
MIN,T.J. Hockenson,Active,Hockenson caught three of four targets for 29 yards in Sunday's 9-3 win over the Bears.
MIN,Carson Wentz,Active,Wentz will serve as the Vikings' backup quarterback Sunday against the Buccaneers after head coach Kevin O'Connell announced Monday that Kyler Murray has cleared concussion protocol and will start Week 3.
MIN,Kyler Murray,Active,"Murray has cleared concussion protocol and will return to the starting lineup Sunday against the Buccaneers, Tom Pelissero of Netflix reports."
MIN,Zemaiah Vaughn,Active,
MIN,Elijah Williams,Active,
MIN,Caleb Tiernan,Active,
MIN,Jakobe Thomas,Active,
MIN,Jordan Addison,Active,Addison caught two of five targets for 21 yards in Sunday's 9-3 win over the Bears.
MIN,Will Reichard,Active,Reichard made all three of his field-goal attempts during the Vikings' 9-3 win over the Bears on Sunday.
MIN,Justin Jefferson,Active,Jefferson caught three of six targets for 55 yards in Sunday's 9-3 win over the Bears.
MIN,Kyle Van Noy,Active,The Vikings elevated Van Noy from the practice squad to the active roster Saturday ahead of Sunday's game against the Bears.
NE,Dametrious Crownover,Active,
NE,Dell Pettus,Injured Reserve,Ankle
NE,Brenden Schooler,Out,Back
NE,Eli Raridon,Questionable,Thigh
NE,Reggie Gilliam,Questionable,Knee
NE,Carlton Davis III,Active,Davis (neck) was a full participant at practice Wednesday.
NE,Morgan Moses,Questionable,Foot
NE,Quintayvious Hutchins,Questionable,Knee
NE,Kyle Williams,Active,Williams caught one of two targets for 10 yards in Sunday's 20-3 win over the Steelers.
NE,Robert Spillane,Active,Spillane logged six tackles (three solo) in Sunday's 20-3 win over the Steelers.
NE,Charles Woods,Active,Woods logged 10 tackles (eight solo) and defensed one pass in Sunday's 20-3 win over the Steelers.
NE,Elijah Ponder,Active,"Ponder logged five tackles (three solo), including 1.0 sacks, and recovered a fumble he returned for a touchdown in Sunday's 20-3 win over the Steelers."
NE,Christian Elliss,Active,"Elliss logged 12 tackles (seven solo), including 1.0 sacks, and forced a fumble in Sunday's 20-3 win over the Steelers."
NE,Mike Onwenu,Injured Reserve,Ankle
NE,DeMario Douglas,Active,Douglas caught one of two targets for nine yards Sunday in a 20-3 win over the Steelers.
NE,Mack Hollins,Active,Hollins caught both of his targets for 18 yards in Sunday's 20-3 victory over Pittsburgh.
NE,Leonard Taylor III,Active,
NE,Walter Rouse,Active,
NE,Behren Morton,Active,
NE,Tanner Arkin,Active,
NE,Hunter Henry,Active,Henry caught three of five targets for 40 yards in the Patriots' 20-3 win over the Steelers on Sunday.
NE,Andy Borregales,Active,Borregales went 2-for-3 on field-goal tries and made both of his extra-point attempts during the Patriots' 20-3 win over the Steelers on Sunday.
NE,Romeo Doubs,Active,Doubs caught three of four targets for 96 yards in Sunday's 20-3 win over the Steelers.
NE,Rhamondre Stevenson,Active,Stevenson rushed six times for 43 yards while catching one of two targets for three yards in Sunday's 20-3 win over the Steelers. He also lost a fumble.
NE,Drake Maye,Active,"Maye completed 14 of 22 passes for 208 yards, no touchdowns and one interception in Sunday's 20-3 win over the Steelers."
NO,Kendre Miller,Questionable,Illness
NO,Nathan Shepherd,Active,
NO,Travis Etienne Jr.,Questionable,Hamstring
NO,Isaiah Stalbird,Active,Stalbird (shoulder) was a full participant at the Saints' practice Wednesday.
NO,Christen Miller,Questionable,Toe
NO,Chase Young,Active,Young (calf) was a limited participant in Wednesday's practice.
NO,Jonas Sanker,Active,Sanker (knee) was a limited participant in Wednesday's practice.
NO,Kelvin Banks Jr.,Injured Reserve,Ankle
NO,Barion Brown,Questionable,Hamstring
NO,Oscar Delp,Active,Delp gathered in his only target for eight yards during Sunday's 24-17 victory over the Ravens.
NO,Bryce Lance,Active,Lance caught his only target for eight yards in Sunday's 24-17 victory against Baltimore.
NO,Kaden Elliss,Active,Elliss recorded six tackles (four solo) during Sunday's 24-17 win at Baltimore.
NO,Pete Werner,Active,"Werner recorded 11 tackles (eight solo), including 1.0 sacks, during Sunday's 24-17 win at Baltimore."
NO,Martin Emerson Jr.,Questionable,Shoulder
NO,Daniel Carlson,Active,Carlson went 3-for-3 on field-goal attempts and made his only extra-point try during Sunday's 24-17 win over Baltimore.
NO,Alvin Kamara,Active,Kamara rushed nine times for 15 yards and caught five of six targets for seven yards in Sunday's 24-17 win over the Ravens.
NO,Juwan Johnson,Active,Johnson caught all four targets for 66 yards in Sunday's 24-17 win over the Ravens.
NO,Zach Wilson,Active,
NO,Decamerion Richardson,Active,
NO,Mason Murphy,Active,
NO,John Ridgeway III,Active,
NO,Devaughn Vele,Active,Vele caught five of seven targets for 64 yards during Sunday's 24-17 win over the Ravens.
NO,Tyler Shough,Active,Shough completed 27 of 34 passes for 252 yards and a touchdown while adding 23 yards and a TD on nine carries in Sunday's 24-17 win over the Ravens.
NO,Chris Olave,Active,Olave caught eight of 10 targets for 86 yards and a touchdown in Sunday's 24-17 win over Baltimore.
NO,Zach Wood,Injured Reserve,Calf
NYG,Jaxson Dart,Injured Reserve,Knee - Meniscus
NYG,Malik Nabers,Active,"Nabers (shoulder) practiced in full Thursday, Dan Salomone of the Giants' official site reports."
NYG,Andrew Thomas,Questionable,Groin
NYG,Micah McFadden,Active,"McFadden (neck) was listed as a full participant in Wednesday's practice estimate,  Dan Salomone of the Giants' official site reports."
NYG,Deonte Banks,Questionable,Calf
NYG,Tyler Nubin,Questionable,Calf
NYG,Brian Burns,Questionable,Ankle
NYG,Shelby Harris,Questionable,Toe
NYG,Tremaine Edmunds,Active,Edmunds logged five assisted tackles and one pass defensed in Monday's 28-6 loss to the Rams.
NYG,Jevon Holland,Active,"Holland logged eight tackles (five solo), one pass defensed for an interception and one fumble recovery in Monday's 28-6 loss to the Rams."
NYG,Theo Johnson,Active,Johnson played 16 of the Giants' 58 offensive snaps but did not haul in any of his four targets during Monday's 28-6 loss to the Rams.
NYG,Odell Beckham Jr.,Active,Beckham played three of the Giants' 58 offensive snaps and did not see a target in Monday's 28-6 loss to the Rams.
NYG,Dominic Zvada,Active,Zvada made both of his field-goal attempts in Monday's 28-6 loss to the Rams.
NYG,Darnell Mooney,Active,Mooney caught two of three targets for 48 yards in Monday night's 28-6 loss to the Rams.
NYG,Devin Singletary,Active,Singletary rushed three times for nine yards during Monday night's 28-6 loss to the Rams.
NYG,Najee Harris,Active,Harris turned four carries into six yards during the Giants' 28-6 loss to the Rams on Monday.
NYG,Tyrone Tracy Jr.,Active,Tracy played only one offensive snap during the Giants' 28-6 loss to the Rams on Monday.
NYG,Darius Alexander,Active,
NYG,J.C. Davis,Active,
NYG,Bobby Jamison-Travis,Active,
NYG,Thomas Fidone II,Active,
NYG,Jason Pinnock,Active,
NYG,Jameis Winston,Active,"Winston could be in line for an extended run as the Giants' starting quarterback after Jaxson Dart sustained a more serious knee injury than anticipated in Monday's 28-6 loss to the Rams, Ian Rapoport and Mike Garafolo of NFL Network report."
NYG,Malachi Fields,Active,Fields brought in two of six targets for 30 yards in the Giants' 28-6 loss to the Rams on Monday night.
NYG,Isaiah Likely,Active,Likely secured five of 10 targets for 33 yards in the Giants' 28-6 loss to the Rams on Monday night.
NYJ,Mason Taylor,Doubtful,Thumb
NYJ,Adonai Mitchell,Questionable,Finger
NYJ,Kene Nwangwu,Questionable,Back
NYJ,Minkah Fitzpatrick,Questionable,Groin
NYJ,Joseph Ossai,Questionable,Foot
NYJ,Arian Smith,Injured Reserve,Knee - ACL
NYJ,David Onyemata,Injured Reserve,Groin
NYJ,David Bailey,Active,
NYJ,Demario Davis,Active,Davis posted four tackles (three solo) during the Jets' 20-17 overtime loss to the Packers on Sunday.
NYJ,Jamien Sherwood,Active,Sherwood posted six tackles (three solo) and a pass defense during the Jets' 20-17 overtime loss to the Packers on Sunday.
NYJ,Marcelino McCrary-Ball,Injured Reserve,Ankle
NYJ,Troy Reeder,Active,The Jets signed Reeder off the practice squad Tuesday.
NYJ,Isaiah Davis,Active,Davis didn't have any output in the box score during the Jets' overtime loss to the Packers on Sunday.
NYJ,Malik McClain,Active,The Jets signed McClain from the practice squad to the active roster Tuesday.
NYJ,Braelon Allen,Active,Allen rushed five times for seven yards and a touchdown while catching his only target for eight yards in Sunday's 20-17 overtime loss to the Packers.
NYJ,Kenyon Sadiq,Active,Sadiq caught two of three targets for 17 yards during Sunday's 20-17 overtime loss to the Packers.
NYJ,Jason Sanders,Active,"Sanders reverted to the Jets' practice squad Monday, per the NFL's official transaction log."
NYJ,Isaiah Williams,Active,Williams caught all six of his targets for 34 yards and added a 14-yard carry during the Jets' 20-17 overtime loss to the Packers on Sunday. He also returned three punts for two yards and five kickoffs for 124 yards.
NYJ,Trevin Wallace,Active,
NYJ,D'Angelo Ponds,Active,
NYJ,Blake Grupe,Active,
NYJ,Geno Smith,Active,Smith completed 27 of 41 passes for 247 yards and one touchdown in Sunday's 20-17 overtime loss to the Packers. He also rushed five times for 17 yards.
NYJ,Garrett Wilson,Active,Wilson caught five of seven targets for 57 yards and a touchdown in Sunday's 20-17 overtime loss to the Packers.
NYJ,Breece Hall,Active,Hall rushed 16 times for 29 yards while catching all five of his targets for 63 yards in Sunday's 20-17 overtime loss to the Packers.
NYJ,Kiko Mauigoa,Questionable,Quadriceps
PHI,Jonathan Greenard,Questionable,Pectoral
PHI,Will Shipley,Questionable,Foot
PHI,Andrew Mukuba,Questionable,Knee
PHI,Jalen Carter,Questionable,Wrist
PHI,Tank Bigsby,Questionable,Abdomen
PHI,Dallas Goedert,Doubtful,Knee - MCL
PHI,DeVonta Smith,Questionable,Hamstring
PHI,Saquon Barkley,Questionable,Shoulder
PHI,Shaun Wade,Active,
PHI,Darius Cooper,Active,Cooper caught two of three targets for 26 yards and a touchdown in the Eagles' 24-20 win over the Titans on Sunday.
